date,open,high,low,close,volume
2020-09-18 10:23:00,94.88,94.995,94.63,94.68,3950.0
2020-09-18 10:24:00,94.7,94.77,94.62,94.62,4462.0
2020-09-18 10:25:00,94.69,94.74,94.55,94.55,2902.0
2020-09-18 10:26:00,94.58,94.75,94.58,94.59,4569.0
2020-09-18 10:27:00,94.595,94.595,94.39,94.39,3637.0
2020-09-18 10:28:00,94.39,94.51,94.27,94.5,4380.0
2020-09-18 10:29:00,94.55,94.55,94.31,94.31,2842.0
2020-09-18 10:30:00,94.4,94.525,94.32,94.36,4867.0
2020-09-18 10:31:00,94.39,94.39,94.21,94.34,1634.0
2020-09-18 10:32:00,94.46,94.47,94.34,94.47,1557.0
2020-09-18 10:33:00,94.47,94.66,94.47,94.51,3886.0
2020-09-18 10:34:00,94.59,94.59,94.59,94.59,703.0
2020-09-18 10:35:00,94.48,94.58,94.48,94.52,1518.0
2020-09-18 10:36:00,94.46,94.46,94.32,94.39,2722.0
2020-09-18 10:37:00,94.3276,94.452,94.3276,94.452,1124.0
2020-09-18 10:38:00,94.48,94.5,94.35,94.35,2144.0
2020-09-18 10:39:00,94.42,94.5,94.41,94.485,880.0
2020-09-18 10:40:00,94.46,94.47,94.41,94.41,34160.0
2020-09-18 10:41:00,94.53,94.54,94.38,94.44,1885.0
2020-09-18 10:42:00,94.4,94.43,94.37,94.38,2883.0
2020-09-18 10:43:00,94.46,94.62,94.46,94.62,3445.0
2020-09-18 10:44:00,94.6118,94.75,94.58,94.75,5172.0
2020-09-18 10:45:00,94.77,94.795,94.67,94.7,3113.0
2020-09-18 10:46:00,94.7,94.715,94.61,94.637,2774.0
2020-09-18 10:47:00,94.585,94.585,94.45,94.515,5014.0
2020-09-18 10:48:00,94.53,94.58,94.5,94.58,507.0
2020-09-18 10:49:00,94.69,94.74,94.59,94.68,3314.0
2020-09-18 10:50:00,94.64,94.71,94.56,94.71,2737.0
2020-09-18 10:51:00,94.74,94.74,94.55,94.55,1427.0
2020-09-18 10:52:00,94.57,94.62,94.57,94.59,3138.0
2020-09-18 10:53:00,94.52,94.53,94.42,94.45,1228.0
2020-09-18 10:54:00,94.45,94.52,94.34,94.4,4694.0
2020-09-18 10:55:00,94.46,94.46,94.34,94.36,3174.0
2020-09-18 10:56:00,94.395,94.44,94.35,94.36,1590.0
2020-09-18 10:57:00,94.36,94.36,94.28,94.31,2199.0
2020-09-18 10:58:00,94.34,94.49,94.34,94.43,2372.0
2020-09-18 10:59:00,94.42,94.42,94.39,94.4167,977.0
2020-09-18 11:00:00,94.46,94.51,94.41,94.41,864.0
2020-09-18 11:01:00,94.48,94.51,94.38,94.46,3149.0
2020-09-18 11:02:00,94.46,94.53,94.405,94.405,1760.0
2020-09-18 11:03:00,94.39,94.44,94.36,94.38,1584.0
2020-09-18 11:04:00,94.36,94.4199,94.35,94.4199,735.0
2020-09-18 11:05:00,94.38,94.48,94.26,94.26,11107.0
2020-09-18 11:06:00,94.31,94.37,94.3039,94.32,6635.0
2020-09-18 11:07:00,94.33,94.51,94.31,94.51,2320.0
2020-09-18 11:08:00,94.5,94.54,94.485,94.49,1792.0
2020-09-18 11:09:00,94.49,94.52,94.48,94.48,950.0
2020-09-18 11:10:00,94.47,94.47,94.46,94.47,999.0
2020-09-18 11:11:00,94.48,94.48,94.38,94.38,1863.0
2020-09-18 11:12:00,94.3169,94.3851,94.29,94.34,1946.0
2020-09-18 11:13:00,94.34,94.35,94.335,94.335,1017.0
2020-09-18 11:14:00,94.3,94.34,94.15,94.19,6195.0
2020-09-18 11:15:00,94.17,94.17,94.135,94.16,1309.0
2020-09-18 11:16:00,94.17,94.23,94.13,94.14,4084.0
2020-09-18 11:17:00,94.1,94.13,93.98,94.13,4801.0
2020-09-18 11:18:00,94.1,94.14,93.95,94.0,3928.0
2020-09-18 11:19:00,94.0,94.02,93.9799,93.9799,1810.0
2020-09-18 11:20:00,93.98,94.08,93.98,93.98,2476.0
2020-09-18 11:21:00,94.03,94.21,93.99,94.19,2158.0
2020-09-18 11:22:00,94.19,94.25,94.19,94.25,1754.0
2020-09-18 11:23:00,94.27,94.285,94.22,94.22,1766.0
2020-09-18 11:24:00,94.205,94.2301,94.2,94.2301,1022.0
2020-09-18 11:25:00,94.24,94.24,94.15,94.2299,2444.0
2020-09-18 11:26:00,94.23,94.3,94.19,94.21,2355.0
2020-09-18 11:27:00,94.2,94.26,94.2,94.26,1915.0
2020-09-18 11:28:00,94.275,94.31,94.24,94.31,2064.0
2020-09-18 11:29:00,94.26,94.39,94.24,94.39,10148.0
2020-09-18 11:30:00,94.37,94.405,94.31,94.37,1596.0
2020-09-18 11:31:00,94.34,94.34,94.28,94.28,2892.0
2020-09-18 11:32:00,94.35,94.38,94.265,94.3,2658.0
2020-09-18 11:33:00,94.29,94.34,94.29,94.295,2627.0
2020-09-18 11:34:00,94.28,94.31,94.28,94.29,1863.0
2020-09-18 11:35:00,94.28,94.28,93.93,93.94,5880.0
2020-09-18 11:36:00,93.95,94.0,93.8,93.88,9353.0
2020-09-18 11:37:00,93.88,93.949,93.86,93.86,1438.0
2020-09-18 11:38:00,93.79,93.8599,93.75,93.75,3556.0
2020-09-18 11:39:00,93.8,93.8,93.77,93.77,2544.0
2020-09-18 11:40:00,93.78,93.86,93.78,93.86,2040.0
2020-09-18 11:41:00,93.87,93.93,93.76,93.76,3478.0
2020-09-18 11:42:00,93.8,93.8,93.7,93.71,1753.0
2020-09-18 11:43:00,93.72,93.88,93.72,93.86,29524.0
2020-09-18 11:44:00,93.84,93.88,93.75,93.75,4400.0
2020-09-18 11:45:00,93.7,93.78,93.64,93.78,3338.0
2020-09-18 11:46:00,93.77,94.01,93.76,93.97,3873.0
2020-09-18 11:47:00,94.1153,94.1153,94.07,94.095,7825.0
2020-09-18 11:48:00,94.095,94.15,94.095,94.15,1933.0
2020-09-18 11:49:00,94.15,94.15,94.09,94.149,2448.0
2020-09-18 11:50:00,94.16,94.22,94.16,94.2,1685.0
2020-09-18 11:51:00,94.3,94.38,94.28,94.38,2058.0
2020-09-18 11:52:00,94.37,94.37,94.25,94.29,2638.0
2020-09-18 11:53:00,94.24,94.27,94.17,94.17,3820.0
2020-09-18 11:54:00,94.16,94.24,94.16,94.24,2259.0
2020-09-18 11:55:00,94.22,94.22,94.19,94.195,1552.0
2020-09-18 11:56:00,94.21,94.36,94.2,94.26,3670.0
2020-09-18 11:57:00,94.26,94.43,94.26,94.43,5245.0
2020-09-18 11:58:00,94.51,94.59,94.51,94.555,4450.0
2020-09-18 11:59:00,94.53,94.56,94.51,94.51,2242.0
2020-09-18 12:00:00,94.46,94.47,94.3548,94.3548,3226.0
2020-09-18 12:01:00,94.34,94.34,94.26,94.26,2775.0
2020-09-18 12:02:00,94.233,94.34,94.233,94.29,2151.0
2020-09-18 12:03:00,94.3,94.35,94.3,94.35,913.0
2020-09-18 12:04:00,94.33,94.38,94.33,94.37,2022.0
2020-09-18 12:05:00,94.35,94.36,94.21,94.25,2679.0
2020-09-18 12:06:00,94.23,94.23,94.165,94.19,1445.0
2020-09-18 12:07:00,94.27,94.41,94.21,94.4,1773.0
2020-09-18 12:08:00,94.38,94.38,94.38,94.38,522.0
2020-09-18 12:09:00,94.41,94.49,94.41,94.49,775.0
